module,skill,display-name,menu-code,description,action,args,phase,after,before,required,output-location,outputs
BGreat Suite,bgr-agent-morgan-sre,Wake Morgan (SRE Lead),MG,SRE Lead for observability incident response SLO/SLI definition and production resilience.,,3-solutioning,,,false,,
BGreat Suite,bgr-agent-riley-devops,Wake Riley (DevOps Lead),RL,DevOps Lead for infrastructure-as-code CI/CD pipeline design and deployment strategy.,,3-solutioning,,,false,,
BGreat Suite,bgr-3-create-observability,Create Observability Plan,CO,Guided workflow to define metrics logging tracing dashboards SLOs and alerting strategy.,,3-solutioning,bmad-create-architecture,,true,bgr_artifacts,observability plan
BGreat Suite,bgr-3-create-incident-response,Create Incident Response Plan,CR,Guided workflow to define severity classification runbooks on-call procedures and postmortem templates.,,3-solutioning,bgr-3-create-observability,,false,bgr_artifacts,incident response plan
BGreat Suite,bgr-3-create-disaster-recovery,Create Disaster Recovery Plan,CD,Guided workflow to define RTO/RPO targets backup and restore procedures geographic failover and DR runbooks.,,3-solutioning,bgr-3-create-infrastructure,,false,bgr_artifacts,disaster recovery plan
BGreat Suite,bgr-3-create-infrastructure,Create Infrastructure Plan,CI,Guided workflow to define IaC strategy environment topology container orchestration and drift management.,,3-solutioning,bmad-create-architecture,,true,bgr_artifacts,infrastructure plan
BGreat Suite,bgr-3-create-capacity-plan,Create Capacity Plan,CC,Guided workflow to define growth modeling auto-scaling policies resource scaling triggers and capacity validation.,,3-solutioning,bgr-3-create-infrastructure,,false,bgr_artifacts,capacity plan
BGreat Suite,bgr-3-create-pipeline,Create Pipeline Plan,CP,Guided workflow to design CI/CD pipeline architecture stages deployment strategy and release gates.,,3-solutioning,bgr-3-create-infrastructure,,true,bgr_artifacts,pipeline plan
BGreat Suite,bgr-3-create-resilience-plan,Create Resilience Testing Plan,CT,Guided workflow to define steady-state hypotheses failure scenarios experiment designs and game day exercises for proactive reliability testing.,,3-solutioning,bgr-3-create-incident-response,,false,bgr_artifacts,resilience plan
BGreat Suite,bgr-agent-sam-security,Wake Sam (Security Lead),SE,Security Lead for threat modeling compliance mapping security architecture and supply chain security.,,3-solutioning,,,false,,
BGreat Suite,bgr-3-create-security-plan,Create Security Plan,CS,Guided workflow to define threat model security controls auth strategy data protection and compliance mapping.,,3-solutioning,bmad-create-architecture,,true,bgr_artifacts,security plan
